user_id,isbn,rating
11676,0002005018,7.312497615814209
116866,0002005018,9.300049781799316
152827,0060973129,7.484460830688477
157969,0374157065,7.238925933837891
67958,0399135782,8.58676815032959
213191,0399135782,7.20460319519043
245827,0399135782,4.59708833694458
11676,0671870432,5.998281002044678
263256,1558746218,7.612756729125977
226745,1881320189,7.722781181335449
7352,0440234743,5.675734996795654
12923,0440234743,5.8284454345703125
13552,0440234743,7.421509265899658
21264,0440234743,4.697920799255371
31299,0440234743,7.820052146911621
64535,0440234743,6.568698406219482
70666,0440234743,5.7287750244140625
75819,0440234743,8.21342658996582
79740,0440234743,4.295535087585449
85534,0440234743,9.827250480651855
100393,0440234743,3.3231239318847656
108143,0440234743,6.3903961181640625
116127,0440234743,5.186661720275879
122251,0440234743,7.080413818359375
128463,0440234743,6.3749189376831055
131703,0440234743,6.817474365234375
132144,0440234743,6.763484001159668
134863,0440234743,6.342905044555664
136707,0440234743,7.148707389831543
143939,0440234743,6.652268886566162
144062,0440234743,8.926795959472656
150400,0440234743,3.4442296028137207
154730,0440234743,2.2869279384613037
165884,0440234743,2.41605281829834
187533,0440234743,6.732674598693848
187944,0440234743,6.147154808044434
217516,0440234743,6.522517204284668
227392,0440234743,4.940972805023193
240567,0440234743,4.822622776031494
245616,0440234743,3.325664758682251
250101,0440234743,9.901375770568848
258884,0440234743,7.229238510131836
259223,0440234743,6.836346626281738
273979,0440234743,5.670699119567871
6242,0452264464,3.968426465988159
8570,0452264464,5.512061595916748
11104,0452264464,7.9013848304748535
11676,0452264464,8.156797409057617
36197,0452264464,4.243789196014404
36907,0452264464,6.913308143615723
80837,0452264464,6.267745018005371
102359,0452264464,8.578731536865234
144803,0452264464,5.685959339141846
165319,0452264464,8.099105834960938
174633,0452264464,10.652816772460938
221232,0452264464,8.198820114135742
252627,0452264464,7.169718265533447
271135,0452264464,4.313925266265869
271144,0452264464,5.810729026794434
11676,0609804618,6.4899139404296875
79089,0609804618,7.904953479766846
271622,0609804618,7.692409992218018
141518,1841721522,7.802453994750977
157118,1841721522,9.667780876159668
14,0689821166,4.033956527709961
4784,0971880107,3.1720292568206787
8453,0971880107,3.7850379943847656
11554,0971880107,0.3753318786621094
12264,0971880107,4.0951385498046875
13088,0971880107,5.239786624908447
13221,0971880107,1.3972301483154297
14049,0971880107,2.3031458854675293
14461,0971880107,2.091691255569458
20147,0971880107,0.826352596282959
21404,0971880107,1.7184582948684692
24664,0971880107,1.122389554977417
28091,0971880107,1.8518335819244385
